Age,Gender,College_Tier,Specialization,CGPA,DSA_Problems_Solved,Internships,Certifications,Projects_Count,Communication_Skills
22,Female,Tier 3,Mechanical,6.53,304,1,6,8,67
21,Female,Tier 2,Computer Science,7.03,399,0,2,12,89
24,Female,Tier 2,Computer Science,6.95,360,1,10,9,52
25,Other,Tier 3,Electronics,6.87,382,1,10,12,75
22,Female,Tier 2,Information Technology,8.52,164,0,4,7,92
23,Female,Tier 2,Information Technology,6.55,266,0,9,5,40
22,Other,Tier 2,Mechanical,5.91,74,2,8,2,97
21,Other,Tier 3,Information Technology,7.82,312,4,10,3,57
21,Female,Tier 2,Mechanical,6.98,218,2,4,1,64
23,Female,Tier 2,Computer Science,6.7,237,3,5,6,77
25,Other,Tier 2,Information Technology,6.68,537,0,5,6,44
22,Male,Tier 3,AI/ML,7.14,388,0,0,6,66
22,Male,Tier 1,Electronics,6.88,112,0,10,9,67
20,Male,Tier 2,Computer Science,8.82,198,2,1,10,73
21,Male,Tier 2,Data Science,8.32,325,1,0,9,45
25,Female,Tier 2,AI/ML,6.29,433,0,7,11,77
18,Female,Tier 1,Information Technology,6.34,161,3,9,2,87
19,Other,Tier 2,Mechanical,6.42,202,3,10,5,77
20,Female,Tier 1,AI/ML,7.49,123,1,9,7,46
18,Female,Tier 3,Computer Science,8.14,475,2,7,12,97
18,Other,Tier 3,AI/ML,8.28,141,0,8,10,69
25,Male,Tier 3,AI/ML,7.78,350,0,3,2,79
20,Female,Tier 2,Electronics,7.09,218,1,0,3,54
18,Female,Tier 3,Electronics,6.7,184,1,5,6,49
24,Other,Tier 3,Information Technology,6.48,524,0,7,12,60
25,Male,Tier 2,Computer Science,6.69,455,1,1,2,51
20,Male,Tier 2,Data Science,7.18,209,0,3,12,98
23,Male,Tier 3,Mechanical,6.57,353,1,0,8,77
18,Male,Tier 2,Mechanical,5.04,186,2,6,12,73
18,Female,Tier 1,Data Science,9.48,522,2,1,6,85
19,Male,Tier 3,AI/ML,6.41,179,1,5,12,55
25,Other,Tier 3,Information Technology,7.59,331,1,7,12,95
24,Female,Tier 2,Mechanical,4.52,205,0,10,3,46
20,Female,Tier 3,Data Science,6.94,272,2,8,11,93
23,Female,Tier 2,Mechanical,7.89,358,1,7,6,42
18,Other,Tier 1,Computer Science,7.76,316,2,5,10,45
25,Other,Tier 2,Mechanical,7.05,164,1,7,1,73
23,Male,Tier 3,Electronics,5.27,80,2,5,8,41
24,Male,Tier 3,Mechanical,7.02,212,1,10,6,67
24,Male,Tier 3,Data Science,6.85,541,2,6,12,92
19,Male,Tier 3,Data Science,8.26,203,0,0,10,81
25,Male,Tier 1,AI/ML,7.4,315,4,7,12,65
25,Female,Tier 3,Data Science,5.91,468,0,4,11,77
19,Other,Tier 2,Information Technology,6.33,473,2,9,7,59
23,Female,Tier 3,Civil,7.39,488,2,9,3,49
21,Other,Tier 3,Information Technology,7.67,316,2,4,12,73
19,Female,Tier 2,Electronics,8.62,278,3,8,7,80
19,Female,Tier 3,Electronics,6.97,270,1,4,8,68
22,Male,Tier 2,Electronics,5.8,277,1,9,10,70
19,Other,Tier 2,Information Technology,6.92,74,1,4,7,80
24,Other,Tier 3,AI/ML,7.05,506,1,10,1,53
18,Female,Tier 3,Civil,6.81,255,0,7,6,54
18,Male,Tier 3,Electronics,8.0,388,2,7,5,70
24,Other,Tier 3,Civil,8.9,520,0,5,2,68
19,Female,Tier 3,Civil,7.75,219,1,0,4,76
25,Other,Tier 3,Information Technology,7.93,302,1,9,2,69
21,Female,Tier 3,AI/ML,6.74,222,1,8,12,44
25,Male,Tier 1,Electronics,7.54,478,1,3,7,77
21,Male,Tier 3,Mechanical,9.54,271,1,7,1,91
21,Other,Tier 3,Electronics,6.88,376,1,1,1,90
25,Female,Tier 3,Electronics,6.5,237,1,9,3,47
19,Male,Tier 3,Data Science,6.82,333,3,10,10,55
19,Male,Tier 1,Information Technology,7.02,392,1,3,5,69
22,Other,Tier 1,AI/ML,7.71,341,1,5,6,58
23,Other,Tier 2,Mechanical,5.62,463,2,2,3,82
25,Male,Tier 3,AI/ML,5.18,339,1,6,1,98
24,Male,Tier 3,AI/ML,5.82,160,3,8,2,43
20,Male,Tier 2,Data Science,7.63,197,2,2,1,98
24,Male,Tier 2,Computer Science,7.34,136,3,5,7,56
21,Other,Tier 1,Mechanical,6.5,76,1,0,3,73
19,Female,Tier 3,Computer Science,7.23,156,2,7,9,50
20,Male,Tier 3,Data Science,7.05,373,0,10,2,81
19,Female,Tier 1,Computer Science,6.08,179,2,3,9,63
24,Female,Tier 1,Computer Science,7.0,270,3,0,2,68
22,Other,Tier 2,Civil,7.53,216,4,8,9,65
20,Female,Tier 1,Data Science,8.29,227,2,3,11,64
22,Other,Tier 3,Computer Science,8.66,427,4,5,4,90
21,Male,Tier 2,AI/ML,6.95,147,0,5,7,93
18,Other,Tier 1,Information Technology,8.4,382,3,4,7,51
18,Male,Tier 2,Data Science,9.06,256,4,4,3,55
18,Female,Tier 3,Civil,7.68,282,3,3,11,80
25,Female,Tier 3,Computer Science,8.4,158,0,10,6,51
18,Female,Tier 3,Computer Science,6.47,134,2,9,12,95
23,Female,Tier 1,Electronics,7.98,162,1,1,7,87
23,Other,Tier 1,Civil,7.09,209,2,8,3,90
25,Other,Tier 3,Civil,7.46,122,0,0,5,51
21,Male,Tier 3,Information Technology,6.09,430,1,9,10,51
18,Female,Tier 1,Mechanical,6.61,467,4,10,1,71
22,Other,Tier 3,Civil,7.15,55,2,6,4,90
20,Male,Tier 2,Computer Science,7.91,306,3,9,6,44
20,Female,Tier 3,Electronics,7.51,165,0,3,12,42
21,Other,Tier 3,Computer Science,6.35,0,3,1,1,78
24,Male,Tier 2,Electronics,7.34,114,2,0,6,86
20,Male,Tier 2,AI/ML,9.2,183,1,7,9,90
20,Other,Tier 1,Computer Science,5.55,135,3,8,10,81
20,Male,Tier 1,AI/ML,9.33,286,1,5,10,67
21,Male,Tier 3,Computer Science,8.46,336,3,8,9,65
22,Other,Tier 3,Computer Science,6.26,242,0,8,2,72
19,Other,Tier 1,Computer Science,7.03,272,0,8,3,59
18,Male,Tier 2,Mechanical,5.0,320,0,10,9,70
18,Male,Tier 3,Computer Science,6.06,324,1,10,5,82
20,Male,Tier 1,Electronics,6.25,516,0,0,1,58
19,Male,Tier 1,Electronics,8.16,195,1,7,10,59
21,Other,Tier 3,Mechanical,7.69,366,2,7,3,82
25,Female,Tier 2,Information Technology,6.34,87,1,5,2,53
19,Other,Tier 3,AI/ML,6.52,250,2,10,11,91
18,Female,Tier 2,Civil,7.66,233,1,5,12,72
22,Male,Tier 2,Information Technology,4.99,152,0,9,11,65
23,Other,Tier 2,AI/ML,8.37,252,3,1,9,80
22,Female,Tier 3,Data Science,6.88,275,0,2,8,45
24,Female,Tier 1,Computer Science,6.41,207,2,10,2,89
20,Male,Tier 3,Electronics,7.6,392,1,10,6,86
25,Other,Tier 3,Information Technology,7.7,273,1,7,12,72
25,Male,Tier 3,Computer Science,8.53,256,3,0,10,59
19,Other,Tier 2,Information Technology,6.88,252,1,0,5,46
19,Other,Tier 2,Electronics,5.69,286,0,6,3,89
24,Female,Tier 1,Data Science,7.53,454,0,1,9,69
25,Male,Tier 3,Information Technology,5.66,328,1,0,8,55
22,Other,Tier 3,Information Technology,6.38,271,0,3,11,89
25,Other,Tier 3,Information Technology,5.86,0,1,9,10,49
18,Female,Tier 3,Computer Science,8.52,7,0,10,4,43
21,Male,Tier 3,Electronics,6.95,141,2,5,2,72
25,Male,Tier 1,Electronics,6.98,46,0,7,5,52
23,Male,Tier 2,Electronics,7.38,218,0,10,11,49
19,Male,Tier 3,Computer Science,7.14,0,2,0,7,40
18,Male,Tier 2,AI/ML,7.52,425,0,10,5,56
21,Other,Tier 2,AI/ML,5.86,150,1,6,2,47
22,Other,Tier 1,Data Science,5.4,274,2,8,5,94
20,Female,Tier 2,Information Technology,8.53,533,2,5,1,74
18,Male,Tier 3,AI/ML,9.3,163,0,8,6,77
23,Other,Tier 1,Civil,9.41,268,0,0,8,60
21,Female,Tier 2,Data Science,8.68,156,3,2,6,51
22,Female,Tier 3,Electronics,9.03,584,2,3,1,59
24,Other,Tier 2,Civil,9.44,184,3,6,5,74
21,Female,Tier 2,AI/ML,6.5,71,2,8,6,97
19,Male,Tier 3,Electronics,7.15,344,0,2,6,56
24,Male,Tier 3,Civil,9.24,283,3,3,3,93
24,Male,Tier 2,Data Science,9.05,404,0,7,5,52
18,Other,Tier 3,Information Technology,8.45,76,2,9,5,55
23,Male,Tier 3,AI/ML,9.31,282,1,7,10,98
23,Other,Tier 3,Data Science,7.82,431,1,8,2,51
20,Female,Tier 3,Civil,8.0,265,0,2,11,57
20,Female,Tier 2,Mechanical,7.62,148,1,4,12,41
19,Male,Tier 1,Mechanical,9.09,189,0,1,2,41
18,Female,Tier 3,Electronics,6.51,336,2,5,10,62
25,Female,Tier 3,AI/ML,7.8,180,0,3,6,84
25,Other,Tier 3,Civil,7.48,273,1,9,3,45
18,Female,Tier 2,AI/ML,5.21,291,0,3,11,80
23,Male,Tier 3,Computer Science,6.84,304,1,5,8,55
19,Other,Tier 2,Computer Science,8.85,328,2,9,6,43
19,Male,Tier 3,AI/ML,5.92,165,3,4,2,87
25,Other,Tier 3,Electronics,4.5,218,2,0,9,49
25,Male,Tier 1,Civil,8.08,398,2,7,2,95
23,Male,Tier 2,Information Technology,9.5,306,2,9,7,89
25,Female,Tier 1,Electronics,4.82,214,1,9,1,52
24,Male,Tier 3,Electronics,5.55,314,3,7,6,40
25,Other,Tier 3,Mechanical,7.74,438,1,5,9,84
23,Other,Tier 3,Electronics,7.3,354,1,4,10,93
24,Male,Tier 2,Civil,8.36,227,1,5,2,74
22,Other,Tier 2,Computer Science,7.83,333,2,4,7,49
22,Other,Tier 3,Data Science,6.51,315,2,4,2,67
23,Other,Tier 2,Electronics,7.64,275,2,1,1,65
25,Other,Tier 2,Civil,6.8,378,1,9,6,53
21,Male,Tier 2,Electronics,6.8,431,1,10,10,73
22,Female,Tier 1,Computer Science,8.26,171,1,9,4,64
20,Female,Tier 3,Civil,8.09,281,0,0,4,82
19,Male,Tier 2,Mechanical,7.45,227,4,1,3,94
25,Other,Tier 2,Civil,7.38,400,1,9,2,63
24,Male,Tier 1,Civil,7.0,361,2,0,6,98
21,Male,Tier 2,Electronics,6.54,261,0,3,11,65
24,Other,Tier 3,Electronics,6.49,352,2,10,10,94
24,Male,Tier 1,Electronics,8.16,0,3,1,5,90
19,Other,Tier 3,Mechanical,5.71,423,4,4,4,64
24,Male,Tier 3,Electronics,7.65,317,3,7,5,93
24,Female,Tier 1,AI/ML,7.83,150,1,8,12,71
23,Male,Tier 3,Electronics,7.08,289,0,9,9,72
20,Male,Tier 3,AI/ML,7.17,283,0,3,10,95
18,Female,Tier 3,Computer Science,6.24,350,0,2,11,84
24,Female,Tier 3,Mechanical,5.38,0,0,10,5,47
24,Other,Tier 3,AI/ML,7.31,224,2,1,7,83
24,Female,Tier 3,Information Technology,6.62,194,1,6,5,70
23,Other,Tier 1,Mechanical,7.07,403,1,5,3,44
20,Other,Tier 3,Mechanical,7.53,379,4,7,6,59
23,Other,Tier 1,Civil,6.84,384,0,8,8,90
24,Female,Tier 1,Mechanical,7.37,399,3,6,4,77
18,Male,Tier 1,Information Technology,8.47,227,0,9,4,55
22,Other,Tier 1,Electronics,6.51,0,1,8,6,61
23,Male,Tier 3,Computer Science,7.79,358,1,4,4,66
23,Male,Tier 3,Civil,6.65,289,3,3,11,72
24,Other,Tier 2,AI/ML,8.33,326,2,3,9,85
20,Female,Tier 3,Mechanical,6.84,0,3,1,10,79
22,Other,Tier 2,Information Technology,5.96,399,3,9,4,65
19,Female,Tier 3,Mechanical,7.06,0,0,7,10,86
19,Other,Tier 3,Information Technology,6.92,329,2,9,6,94
20,Male,Tier 3,Computer Science,9.64,49,2,5,11,44
22,Female,Tier 3,AI/ML,6.69,280,0,6,6,67
18,Other,Tier 1,AI/ML,6.92,266,2,6,3,60
18,Other,Tier 2,Electronics,8.92,262,3,9,9,93
22,Other,Tier 2,Data Science,9.07,249,3,0,8,57
20,Other,Tier 1,Civil,7.48,241,2,9,10,90
22,Male,Tier 1,Civil,7.83,230,0,7,2,82
25,Other,Tier 3,Mechanical,7.0,252,1,5,5,68
25,Male,Tier 2,Electronics,7.64,210,2,1,5,69
23,Other,Tier 2,AI/ML,6.87,106,2,9,12,95
20,Male,Tier 2,Information Technology,6.01,202,0,4,4,80
20,Female,Tier 3,Mechanical,7.21,421,0,9,2,93
20,Female,Tier 2,AI/ML,8.55,387,2,5,6,69
24,Other,Tier 1,AI/ML,6.29,435,0,6,11,86
22,Male,Tier 2,AI/ML,7.06,245,1,4,5,53
20,Other,Tier 3,Information Technology,6.35,435,0,0,8,80
21,Female,Tier 1,Civil,6.87,483,0,10,9,97
21,Male,Tier 2,Electronics,8.15,146,0,0,1,77
23,Other,Tier 3,Mechanical,7.88,270,2,7,8,96
19,Female,Tier 1,Information Technology,5.95,264,1,7,11,41
21,Male,Tier 3,Data Science,6.24,0,1,10,11,66
21,Female,Tier 1,Electronics,8.42,256,1,5,2,92
23,Other,Tier 3,Electronics,6.8,53,3,6,6,90
25,Other,Tier 2,AI/ML,7.19,174,2,6,12,57
20,Male,Tier 2,Information Technology,7.08,389,1,5,8,98
24,Female,Tier 1,Computer Science,5.96,187,1,6,5,53
21,Female,Tier 1,Civil,8.79,255,2,1,1,79
20,Male,Tier 3,Electronics,7.85,349,0,10,11,100
25,Female,Tier 3,Information Technology,5.61,328,2,5,4,78
25,Female,Tier 2,Civil,6.43,0,0,7,9,49
22,Other,Tier 3,Mechanical,6.98,239,3,0,11,76
23,Other,Tier 1,Electronics,7.21,0,1,2,6,90
24,Female,Tier 3,Data Science,6.39,164,0,2,6,68
20,Female,Tier 3,Information Technology,8.38,235,2,7,3,52
19,Male,Tier 2,Electronics,8.67,36,2,6,2,74
24,Other,Tier 3,Information Technology,9.06,218,1,7,10,50
23,Male,Tier 2,Mechanical,9.02,278,2,5,7,91
21,Male,Tier 2,Civil,6.57,197,0,6,10,87
20,Other,Tier 3,AI/ML,6.17,271,1,7,10,90
20,Male,Tier 1,AI/ML,6.96,317,0,5,3,41
20,Male,Tier 1,AI/ML,6.73,78,0,6,11,88
19,Male,Tier 2,AI/ML,8.98,169,0,8,10,98
20,Other,Tier 2,Computer Science,7.78,98,3,3,2,82
18,Other,Tier 1,Computer Science,6.22,59,2,10,12,45
22,Female,Tier 2,Electronics,7.79,234,4,8,8,47
22,Female,Tier 3,Computer Science,7.22,198,1,10,1,97
18,Female,Tier 1,Civil,6.36,173,0,8,1,95
20,Male,Tier 2,Information Technology,6.43,81,0,5,10,95
20,Other,Tier 3,Electronics,7.06,515,0,7,7,50
19,Male,Tier 2,Civil,7.83,268,1,4,3,73
19,Other,Tier 3,Mechanical,6.8,0,1,1,2,91
18,Male,Tier 2,Electronics,6.94,429,0,6,5,88
20,Male,Tier 1,Civil,6.14,0,1,7,11,91
23,Male,Tier 1,Civil,6.67,319,1,1,1,82
18,Other,Tier 2,Electronics,8.16,363,0,4,7,99
22,Female,Tier 2,Mechanical,7.81,323,0,0,9,81
18,Female,Tier 3,AI/ML,8.14,179,1,0,2,71
21,Other,Tier 1,AI/ML,8.87,117,2,1,12,75
20,Male,Tier 3,Electronics,7.38,442,0,3,7,74
18,Male,Tier 2,Mechanical,7.12,331,1,1,11,70
24,Female,Tier 2,Data Science,7.23,204,3,9,7,98
20,Female,Tier 3,Mechanical,7.39,588,2,9,1,59
18,Male,Tier 1,Data Science,7.61,398,3,4,6,84
19,Other,Tier 3,AI/ML,6.1,305,1,6,12,41
25,Female,Tier 2,Computer Science,7.56,300,3,7,8,88
22,Other,Tier 3,AI/ML,6.94,388,1,8,3,68
18,Other,Tier 3,Information Technology,6.47,406,2,2,9,57
25,Male,Tier 3,AI/ML,9.03,312,0,5,12,70
24,Other,Tier 2,Information Technology,7.01,255,2,8,5,89
25,Male,Tier 3,AI/ML,4.5,53,1,6,11,62
25,Female,Tier 1,AI/ML,7.48,106,1,5,4,93
18,Male,Tier 2,AI/ML,5.73,249,0,0,2,56
22,Other,Tier 3,AI/ML,6.47,383,4,6,4,65
21,Female,Tier 2,Electronics,7.3,155,1,5,6,91
20,Male,Tier 1,Mechanical,4.77,413,1,9,5,58
22,Male,Tier 3,Data Science,6.22,260,1,3,9,47
24,Female,Tier 3,Information Technology,7.18,220,2,4,11,64
20,Female,Tier 2,AI/ML,5.28,476,1,10,10,79
18,Male,Tier 2,Data Science,7.84,302,0,5,11,44
18,Female,Tier 3,Data Science,6.64,191,3,2,5,60
22,Female,Tier 3,AI/ML,6.59,128,2,8,11,83
19,Female,Tier 3,Computer Science,6.05,18,1,9,7,47
22,Other,Tier 1,Data Science,8.35,146,0,1,9,98
19,Female,Tier 2,Electronics,7.94,213,2,1,2,97
19,Female,Tier 1,Electronics,6.81,116,2,2,8,50
18,Other,Tier 2,Computer Science,6.79,126,1,9,9,58
24,Other,Tier 3,Information Technology,5.59,260,2,7,9,96
22,Male,Tier 2,Electronics,6.66,521,0,6,1,81
19,Other,Tier 3,Civil,5.85,482,1,8,12,99
24,Male,Tier 3,Mechanical,7.56,423,2,9,9,50
25,Other,Tier 3,Information Technology,7.51,350,1,3,7,68
18,Female,Tier 3,Civil,8.08,17,1,10,9,46
21,Female,Tier 3,Mechanical,6.57,346,2,2,9,62
21,Female,Tier 2,Mechanical,6.55,497,3,6,1,98
19,Other,Tier 2,Mechanical,7.33,362,0,2,7,59
22,Female,Tier 3,Computer Science,7.67,235,1,9,11,54
22,Other,Tier 2,Data Science,7.19,365,1,9,6,42
25,Female,Tier 3,Information Technology,8.42,124,2,5,12,98
22,Female,Tier 2,Civil,7.92,202,3,0,2,82
20,Other,Tier 2,Information Technology,6.42,313,2,6,6,96
18,Male,Tier 1,AI/ML,6.55,337,2,5,5,42
23,Other,Tier 3,AI/ML,6.54,237,1,6,10,87
19,Other,Tier 3,Information Technology,7.42,191,3,7,7,85
19,Female,Tier 1,Mechanical,7.67,206,2,0,5,43
21,Female,Tier 3,Computer Science,9.04,313,0,9,8,73
24,Female,Tier 3,Data Science,8.84,243,0,3,12,72
19,Female,Tier 1,AI/ML,5.65,366,0,10,4,43
21,Female,Tier 3,Data Science,8.73,380,1,10,3,83
20,Other,Tier 3,Computer Science,7.75,99,2,6,8,86
24,Female,Tier 3,Mechanical,7.01,252,1,5,6,59
23,Other,Tier 2,Electronics,6.88,210,2,1,2,97
23,Male,Tier 2,Computer Science,6.92,18,1,2,4,84
22,Other,Tier 2,Electronics,6.1,289,2,0,8,41
24,Male,Tier 2,Electronics,7.99,541,2,5,11,47
19,Female,Tier 3,Civil,7.11,413,4,4,11,48
18,Female,Tier 3,Data Science,7.13,291,1,2,6,50
25,Female,Tier 3,AI/ML,8.2,502,1,2,9,56
23,Other,Tier 3,Information Technology,9.08,178,2,9,5,60
20,Male,Tier 3,Computer Science,7.21,111,0,1,6,50
23,Female,Tier 2,Computer Science,8.3,234,2,8,10,70
24,Female,Tier 3,Information Technology,8.56,409,3,10,4,67
18,Male,Tier 3,Electronics,9.15,418,2,7,8,97
18,Other,Tier 2,Mechanical,6.44,0,0,10,5,40
25,Female,Tier 3,Mechanical,6.85,229,1,10,3,85
25,Other,Tier 3,Electronics,5.44,296,3,5,11,43
23,Other,Tier 2,Information Technology,6.14,357,1,6,11,66
18,Other,Tier 2,Information Technology,4.5,232,0,4,7,80
24,Male,Tier 3,Computer Science,7.49,122,0,9,6,66
20,Female,Tier 2,Mechanical,4.9,520,0,2,2,100
24,Other,Tier 2,Electronics,7.77,261,1,9,9,80
18,Female,Tier 1,Information Technology,7.15,291,0,3,7,76
24,Female,Tier 1,Computer Science,8.28,203,3,2,8,58
19,Other,Tier 1,Data Science,6.36,216,1,6,4,69
18,Female,Tier 3,AI/ML,9.05,310,0,6,4,62
23,Female,Tier 3,Electronics,7.43,133,0,9,9,59
21,Other,Tier 1,AI/ML,7.07,286,0,2,5,89
20,Other,Tier 3,Data Science,6.48,249,1,6,2,47
24,Other,Tier 3,Civil,7.85,191,1,10,7,48
19,Male,Tier 3,AI/ML,8.0,138,1,1,8,71
21,Female,Tier 3,Civil,9.66,204,1,2,9,44
22,Female,Tier 1,AI/ML,8.34,170,4,7,10,43
21,Female,Tier 3,AI/ML,7.92,551,2,1,11,52
23,Female,Tier 2,Computer Science,7.4,321,2,5,1,92
18,Female,Tier 3,AI/ML,7.24,114,2,6,6,49
23,Male,Tier 3,Civil,7.23,278,4,3,9,72
25,Female,Tier 2,Electronics,7.25,39,2,3,7,86
20,Other,Tier 3,AI/ML,8.06,151,4,6,2,93
22,Other,Tier 3,Civil,8.1,354,2,3,11,94
24,Male,Tier 3,AI/ML,6.72,285,3,8,7,61
23,Other,Tier 2,Mechanical,6.66,196,2,8,4,49
19,Other,Tier 3,Computer Science,6.43,331,0,7,1,66
24,Male,Tier 3,Mechanical,7.44,156,1,7,3,40
19,Male,Tier 1,Civil,7.98,40,2,6,8,67
21,Female,Tier 3,Civil,6.99,229,0,6,6,66
23,Female,Tier 3,Electronics,7.52,312,1,4,4,77
24,Female,Tier 2,AI/ML,8.59,79,0,4,12,78
21,Other,Tier 3,Data Science,8.79,331,1,8,7,74
20,Other,Tier 3,Mechanical,6.38,369,3,6,3,60
23,Other,Tier 1,Computer Science,8.06,339,3,4,7,47
18,Male,Tier 2,Civil,6.35,455,1,5,5,65
24,Other,Tier 2,Civil,4.5,40,2,0,9,78
24,Female,Tier 1,AI/ML,8.75,314,0,3,1,62
23,Other,Tier 1,Computer Science,5.81,265,4,9,11,42
22,Male,Tier 3,Electronics,8.14,472,0,2,6,76
24,Female,Tier 2,Mechanical,8.28,271,0,10,7,93
21,Female,Tier 1,AI/ML,6.34,237,2,7,9,53
21,Female,Tier 2,Information Technology,7.94,205,2,10,4,80
21,Other,Tier 1,Computer Science,7.63,247,1,5,5,75
19,Male,Tier 3,Civil,5.94,217,1,5,8,93
20,Male,Tier 3,Computer Science,5.97,506,3,8,8,60
21,Other,Tier 3,AI/ML,6.75,237,1,6,8,71
20,Female,Tier 2,Data Science,6.91,34,3,1,4,99
23,Male,Tier 3,Electronics,8.39,70,1,7,6,88
20,Female,Tier 1,Mechanical,6.98,202,2,9,10,43
19,Female,Tier 3,Mechanical,5.72,316,3,3,9,95
24,Female,Tier 3,Information Technology,8.22,101,1,10,7,88
19,Other,Tier 2,Mechanical,5.4,512,1,0,3,88
22,Other,Tier 3,Electronics,7.83,544,1,3,4,89
22,Female,Tier 2,Electronics,7.06,368,0,5,12,70
21,Male,Tier 3,Information Technology,5.64,79,2,2,8,45
24,Other,Tier 3,Information Technology,7.17,464,1,6,12,91
22,Female,Tier 3,Mechanical,8.57,260,2,2,7,73
22,Male,Tier 3,Information Technology,7.25,122,4,3,3,72
19,Other,Tier 2,Electronics,8.06,156,1,1,9,79
22,Male,Tier 1,AI/ML,9.03,28,1,3,1,52
23,Other,Tier 2,Civil,7.52,164,0,7,10,92
24,Other,Tier 1,AI/ML,9.16,473,0,5,1,73
24,Female,Tier 3,AI/ML,6.56,280,1,6,1,83
25,Male,Tier 2,Data Science,5.99,311,2,4,7,69
21,Male,Tier 3,Electronics,5.98,207,1,1,8,50
24,Female,Tier 3,Civil,6.48,166,3,4,11,71
22,Other,Tier 3,Data Science,7.66,546,4,0,4,100
24,Female,Tier 1,Data Science,8.23,247,4,8,5,63
23,Female,Tier 3,Data Science,6.6,586,4,2,3,97
24,Male,Tier 1,Information Technology,7.76,271,4,6,12,42
18,Other,Tier 1,Electronics,6.39,454,2,5,4,72
18,Female,Tier 2,Mechanical,6.23,204,1,4,6,70
20,Other,Tier 2,AI/ML,7.71,11,2,9,4,62
18,Other,Tier 2,AI/ML,7.33,167,2,5,1,50
24,Female,Tier 1,Civil,6.71,105,1,3,11,52
23,Female,Tier 3,Computer Science,6.02,243,0,8,12,50
19,Female,Tier 3,AI/ML,8.3,61,0,9,11,62
19,Male,Tier 2,Mechanical,6.77,410,0,0,6,88
21,Other,Tier 2,Computer Science,6.81,424,0,2,6,42
21,Other,Tier 2,Electronics,7.46,252,1,10,4,70
20,Other,Tier 3,Electronics,7.83,173,2,0,4,54
22,Other,Tier 2,AI/ML,5.78,337,3,9,11,42
25,Other,Tier 1,Civil,8.42,191,0,5,2,75
18,Other,Tier 1,Electronics,9.26,89,1,7,10,84
22,Other,Tier 1,AI/ML,7.26,368,2,5,7,73
21,Female,Tier 2,Electronics,5.2,187,2,6,7,100
18,Female,Tier 3,Data Science,8.08,122,1,1,3,40
20,Female,Tier 3,AI/ML,5.96,345,2,10,10,80
23,Male,Tier 2,AI/ML,7.67,428,1,5,8,68
18,Male,Tier 3,Computer Science,8.08,255,1,6,8,73
21,Female,Tier 2,Mechanical,9.02,177,3,2,10,93
23,Male,Tier 3,AI/ML,8.72,364,2,6,1,73
21,Female,Tier 3,Computer Science,7.34,77,0,4,10,91
21,Other,Tier 3,Mechanical,7.22,621,3,0,5,88
23,Female,Tier 3,Electronics,6.23,300,2,7,4,79
18,Female,Tier 2,Mechanical,7.83,73,1,9,2,99
25,Female,Tier 2,Information Technology,8.32,321,1,3,1,70
19,Other,Tier 3,Civil,7.39,404,2,6,6,72
19,Male,Tier 1,Civil,7.86,113,3,7,9,98
25,Other,Tier 1,Data Science,8.48,226,0,2,10,93
23,Other,Tier 1,Civil,6.67,253,4,9,2,79
23,Female,Tier 1,Information Technology,6.9,462,0,4,4,69
24,Female,Tier 1,Data Science,7.45,388,0,9,5,56
22,Male,Tier 3,Electronics,6.26,41,1,2,4,89
25,Other,Tier 2,Civil,7.98,350,1,2,3,86
22,Female,Tier 3,Information Technology,6.99,104,1,9,3,97
24,Female,Tier 3,Electronics,8.48,267,4,7,12,100
25,Male,Tier 3,Data Science,7.34,368,2,3,10,87
25,Female,Tier 1,Electronics,6.29,254,0,6,1,89
22,Male,Tier 3,AI/ML,6.88,356,1,0,1,58
25,Female,Tier 2,Mechanical,9.42,259,2,0,8,47
24,Male,Tier 3,Electronics,7.02,369,0,4,3,84
21,Other,Tier 2,Computer Science,8.73,377,1,6,8,65
22,Male,Tier 3,Mechanical,8.15,68,2,3,10,44
20,Female,Tier 2,Data Science,7.22,450,1,7,9,50
19,Female,Tier 3,Information Technology,7.34,76,1,10,3,65
21,Male,Tier 3,AI/ML,7.27,166,2,10,1,92
22,Other,Tier 1,AI/ML,6.08,242,2,2,5,50
21,Other,Tier 1,Civil,6.93,515,2,1,8,75
23,Female,Tier 2,Computer Science,7.15,422,0,7,9,88
20,Female,Tier 1,Computer Science,6.43,148,0,0,12,62
18,Other,Tier 2,Mechanical,6.85,239,3,4,5,45
20,Female,Tier 3,Civil,4.5,246,0,6,4,60
23,Other,Tier 2,Electronics,6.1,326,0,9,8,84
23,Male,Tier 1,AI/ML,6.16,31,1,3,5,88
25,Female,Tier 3,Computer Science,7.2,325,0,4,7,88
20,Other,Tier 3,Mechanical,6.69,221,2,3,3,91
19,Male,Tier 1,Civil,7.69,23,2,2,10,86
18,Other,Tier 3,Information Technology,6.35,218,1,7,5,75
21,Male,Tier 3,Civil,8.6,318,3,5,9,74
22,Male,Tier 1,Electronics,6.62,461,2,0,6,42
23,Other,Tier 2,Data Science,8.63,280,2,9,10,42
24,Other,Tier 2,Computer Science,8.48,38,3,10,2,50
20,Other,Tier 1,Information Technology,7.23,224,2,5,10,73
22,Other,Tier 3,Information Technology,8.29,523,1,1,3,64
22,Other,Tier 2,Mechanical,6.06,148,4,5,8,85
19,Male,Tier 1,Civil,5.71,257,2,0,5,55
23,Male,Tier 2,AI/ML,9.21,234,3,9,6,52
